,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
11,4.95883023896184,4.008160148544998,4.975773251795126,3.570268177304291,4.603465553215375,4.333098843083535,2.701835355244493,4.419736784490972,4.313536424216276,4.532532268797201,3.702923693346775,4.156546328590392,4.45467380951642,4.969883581940635,3.3087875647640987,4.01841123311018,2.7934315954727347,3.3760280650006305,4.018723264660366,4.075105177829372,4.567468983086534,4.126402720627489,3.2108898087573206,4.328408125687632,4.398162356179174,4.058243227749335,4.188100928933767,4.18012614315351,3.7772313073955255,2.9923478264204624,3.2233518797990484,3.132709363858437,4.995767395028724,3.0131777036520475
12,4.989614082352042,4.64841232592895,4.982015000231766,3.998619243006075,4.920110084616084,4.876701672255669,3.5077100795563103,4.9819200266160015,4.768059785067626,4.759963012251589,3.331957057172593,4.022421834856899,5.238411151189859,3.026813492303364,4.975811359834959,4.021151755806759,3.3860587199735606,2.8348743472626428,4.962931864423806,4.92298993785763,4.348897391557544,4.39389810198913,4.9743813143524385,4.725724346257786,4.003673376821793,4.302350439441468,4.388777975860429,4.145238394911246,4.676089337552882,5.2022617914374925,1.9763332821422537,4.640133581748724,4.22629854347007,4.205168640465789
13,4.001978334499291,4.332875679084134,4.1734019043601895,3.772211951697578,4.861119199151311,4.101109478845038,4.927607379784591,4.055812951990498,4.537993978084851,4.940461545890547,3.550671320781724,3.5320355325322046,4.001203544924852,2.9783554730095925,3.973576127627709,3.403164879828313,1.7772603444105248,2.7527492197873107,2.7900534239375157,4.14780817015978,4.8970149896241475,4.007977903191402,3.010227868953691,5.362132975718146,3.2944035079192013,3.9724859469135305,4.671935469194706,3.9755642569983722,2.050946569001047,4.134788641115563,0.7882782808871811,3.933096620240266,3.9557278733321373,4.209858095001351
14,4.976519182579593,4.0328765713752865,4.9917258606258965,3.8040892581782733,4.986223880635355,4.556548662343133,3.6605034997750914,4.6140851199488635,4.534826735896815,4.652143409913848,3.6387699153023174,4.149856495016584,4.98431481524864,4.416525104366714,3.733241785817669,4.383620503954682,2.5386388266808764,3.0311548612866703,4.193746770401152,3.9763527267450556,4.786603362326282,4.5216945997131655,3.794732635420786,4.970677320944454,4.242765828746632,4.120937633209814,3.9557762710583053,4.287237973320216,3.837222350022527,3.4485200133080283,2.643657768072434,4.007575884550385,5.195990784810796,4.4990138921124085
15,4.974868426832941,4.7618234735974045,5.005669442621036,4.969978563736663,4.969643417455642,4.877335119064314,3.57275338389534,5.043738415247828,4.910043869897669,4.858152584796655,4.3328182037128276,3.7630718479729293,4.995063063215303,4.008337683981107,3.5269252021769835,4.313459155168656,3.2268400462630473,3.513642805888241,4.463169803415804,3.6965124176700823,4.252337062938471,4.349247100590721,3.535342600374654,4.661386610081331,4.050226494667209,4.707756672263104,4.124736153141308,4.9798497128421975,3.3233556855470874,3.3847500773884502,1.8523901795218374,3.581240573681555,4.102210584086253,4.571980804745189
16,4.008150158140903,3.834298296858825,3.991963253235887,2.9029504468012064,4.557310264119594,4.23635576744609,3.1200033748791576,4.00301171769862,3.9062498705406736,4.4431128571096,2.7645884436448434,3.6521662539590865,4.032128172334978,3.573842456884278,3.97048190046656,3.6732847427638884,3.1111049803865782,2.9775586363418456,3.8571676126888477,4.581886364727562,4.5080317916004855,4.32905033282447,3.82433056383355,4.199461058419208,3.4327023251277744,3.3733640833239624,3.897796582209236,3.1611389878721825,3.8784916784242047,4.974832669358244,3.682581948214139,4.983316706459509,4.980407062640692,3.9979907259837937
17,3.998181171177788,3.9974164678535398,4.028475714014853,3.548425648257126,4.920826534947645,4.149641456733207,2.886904060164372,4.140889007110834,4.099313875927381,4.5151095542441935,3.046424514937975,3.5022372377379685,3.988745751617998,3.515088889278577,3.7100428935370844,3.4992969972941257,2.3722355048296278,3.9456720964889223,3.2733134233820866,3.4005721985065906,4.7094363682437095,3.8276259257600422,2.466597981818876,4.016952641114967,4.036059861872213,3.8783843401666096,3.736246986499597,3.71622071064414,3.1827985585417133,4.192627073151551,2.632105152340152,3.3157777254105456,4.201868481741846,3.9620705203863755
18,4.9855352058811455,4.495095303434304,4.986378836251236,3.761669480156724,4.956693423768268,4.589307586879139,2.92034759676605,4.728934928179921,4.647293461963785,4.690634490025587,3.9213805108875754,4.391372537037118,4.998528306180228,4.99184901640419,3.7819168236217173,4.538724731274523,2.7334535413768455,3.9063778283097634,4.381141557926201,3.6298174176695963,5.002918344383565,4.259402344546445,3.5272747824517547,4.580724364659812,4.971208756645422,4.594952664582573,4.288861322079283,4.534863719458934,4.165990410915215,3.529516957370983,3.0944882548778576,3.5088245923630934,4.6894635011116845,4.277131358410592
19,4.92328698156011,4.989263150983746,4.4859254876168135,3.894127253769733,5.343058241801392,5.016459599672808,3.363079758158379,4.879810617206397,4.9707998405324565,5.175734481337803,3.593139352632795,4.655823583171043,4.876883427596871,4.299787119785121,4.977163783563673,4.0152516542548495,2.845095802540847,5.118308731916691,3.808289831111891,4.368029575613243,5.0000661418021535,4.965229761056146,3.014374459380483,5.004562698701738,4.9795604059698935,4.607177534538483,5.0183412999197206,4.326672037858257,4.307471701638775,4.873277372792195,2.98802995248758,3.8389401356789654,4.654959762232707,3.5829915461763457
20,4.727158789290417,4.972122360681888,4.471370096864953,3.9900943589885145,4.9890738566914,4.780786553925658,3.898630432138029,4.676475960781112,4.695210775976792,4.982635410629235,4.017117321360964,4.073185599112849,4.941401284914765,4.016303074087574,4.071029022190639,4.319063181167114,2.6444447311737838,3.5301470341814816,4.257296128327564,4.585078265985513,5.186674479272676,4.618740908590665,3.996740309408488,4.976651470136454,4.132126350935042,4.539307603116854,4.409819362349056,4.324277890895145,3.3550810277952805,4.6467655675630155,2.9908141644100557,4.73296468540221,4.002277787239946,4.990902202109575
21,3.089769125352642,3.966528102657468,3.164268568452665,3.2410933041923062,3.009584633818832,2.9262163200550746,2.416232730286812,3.021596456834187,3.4533538921888147,3.495933942638317,3.9613108169485005,2.684046025965416,3.007894850574986,3.2660682356760713,1.654778609297067,3.193545069991395,1.3306400022548854,2.565183455726292,2.4241983682046,1.9998220703099205,3.002986391884706,2.2802183856904272,1.8591719000505909,3.010734409285542,2.910832062338513,3.9645473801659517,3.157657579411302,3.9920802690527832,1.0058498254370938,2.2403248289311213,1.0481924155791544,1.0085311203044864,1.2437197744549477,3.0258227354077074
22,4.3838968728935255,4.00976069511559,3.8009337607820495,3.311357618094122,4.377944741227097,4.166981601289721,3.983944812347734,4.03662476233492,3.99933571970866,4.348263654085558,3.4593493904881867,3.8046845537769984,4.068742927270755,3.8580806212011027,3.3336317536336977,4.1112312779485585,2.068582866570682,2.8994768448923485,3.0037359794434453,3.914171432004911,4.463500249398204,4.96828097860052,3.4028629123688416,4.9753874975257135,3.403934169113782,3.6101167202901103,3.887984382640382,3.684015497088169,3.1432730086010996,3.3467747474452425,2.3578352380775867,4.637083221635604,4.567531292111191,3.859937301661666
23,3.7753668911621556,3.9854053642734755,3.771445085681874,2.7969973670392005,3.749282277191725,4.15225049496985,2.0090528338227167,3.7768607531991596,3.7639550854512653,3.760363175966288,3.442838552545362,3.9597897774541164,4.84677587094207,4.9847681070244985,3.0963274242020415,4.069213731484088,2.823557410501918,3.889410906288515,4.335345632604101,4.239576698481297,4.463985835561599,3.9117681988375335,3.6561670526706433,3.428102934357352,3.997381828400629,3.86997293574257,3.218552360181281,3.7466746634262815,3.985346695202513,3.627896772378306,4.978023682382909,4.003836925534568,3.01528663417508,4.986622384014527
24,4.976252740474658,4.996295294992386,4.979092121486543,3.698241170416742,4.990054736115475,4.998153522438081,3.587646596450675,4.9724315781875585,4.896360318089211,5.00934209606161,3.7006794661387783,4.5205154603196345,5.3411812735907445,4.154405677040228,4.9777313851853435,4.396547787330543,3.429206623841333,3.496249699028781,4.857751199047891,5.300347544075376,5.195687721715829,4.7358933944255215,4.9695924010588035,5.002994646072153,4.4874551392573565,4.551879002697985,4.977687696351604,4.2782646642096624,4.904643752027362,5.224397980245018,2.9823914280917276,5.191877138803493,4.362764246016427,4.470268616750733
25,4.418406159068213,4.974653283820689,4.019628806853539,3.624335844002229,4.75022951526416,4.365625090829873,3.9179994533621065,4.315330517896874,4.493547579988719,4.9827753567798645,3.9171779429889924,3.971513268885709,4.006719243204523,3.8991665421719146,3.937039655615055,3.8745948338462455,2.252409561830115,3.7199096244950853,3.1411651295253677,4.23924607781684,5.142051421849948,4.475544249098635,3.112799671411281,4.976620751031839,4.041107063676826,4.351610561220121,4.979621036157234,4.029860515581352,2.8275124990266383,4.336876109032602,2.2386111202449825,4.218747184937434,3.872792286088631,3.5150330737240507
26,4.945949387595546,4.996195073843294,4.694861019800691,4.14775596874253,4.998342669185177,4.991306184834778,3.586016765119639,4.980144248845455,4.8164928013393355,5.014592697864716,4.023709447813378,4.295724915060299,4.932697699150434,4.527840450071722,4.291586177848583,4.359054027318127,3.2580449670901235,4.085924071519707,4.1837652783899415,4.504253443717013,5.134727706438615,4.98285867871021,3.8155822947004383,5.001138279420086,4.48187706925506,4.535172826038896,4.9684595194368235,4.3943228231651466,4.157365255891008,4.148186185085935,2.860317055863696,4.872749837364262,4.580881622666713,4.002000815021706
27,4.930496902441017,5.011978318109971,5.080953112983572,4.597165348506786,4.986839622813777,4.723154082120106,3.92640290931627,4.8289335892322836,4.911990286679469,5.1135849439792205,4.939974614956589,4.065782278325797,4.920866110050765,5.045674195048549,3.0046144933654237,4.866124352078726,2.628158680975721,3.402237815778704,4.076949476080047,3.7398789887051165,5.178744000848859,4.39383961023896,3.5617021035930634,4.994026101694807,4.28179410940076,4.9940602556365645,4.468101345502772,5.174317236158898,2.8657047170036947,3.209215213228977,2.4659150197272806,3.779457860227571,4.13454027676551,5.001026165929262
28,4.945485252056221,5.001737177387833,5.1579448025810155,4.185631172620842,5.270669967380379,4.807794996973903,3.5434058860366644,4.945493312196183,5.093759165045046,5.197476917359952,4.31160370250766,4.5142021658163705,4.978450665405732,4.998184928780925,4.079031587002555,4.569813714018849,2.978157684982167,4.261984784147103,4.185600076572552,3.968745046366483,5.340282456656633,4.382034423429126,3.4839612586857807,4.995638932887386,4.979454684070605,4.983265489853318,4.979473629660515,4.976593558748052,3.972654529296522,3.9303355487678457,2.5112304995522043,3.6379037733660597,4.482702311399483,4.479698448222003
29,4.992521055666608,4.976976024856728,4.793704548511598,3.9936169504678967,4.994395796255398,4.783123545067938,3.6177616537497834,4.81490112173166,4.769053669770088,4.972641945368397,4.425572571891963,4.398319727641562,4.999904501970707,4.992626060172538,3.622314793635119,4.977316772058931,2.749599203821472,3.7226636876521413,4.21937834714102,3.9587873708134786,5.253750334811885,4.815335086950449,3.9679170517587274,4.9932385901672305,4.592674871759268,4.8045486266368185,4.467370863432288,4.746312826704585,3.8443789978429126,3.890990176652094,3.103155887647772,4.423663233913331,4.457591874039379,4.880844600256234
30,3.9684154532920717,3.9051357153190636,4.974824206931933,4.122241302200417,4.981675883471588,3.699539864397905,3.2768862323313113,4.051464538393763,4.553857617829086,4.96724447659338,3.870560576666333,3.392097368360832,3.0468660254950097,3.9938325613590977,2.5096583005968203,3.70226409591751,3.0936649003133496,3.1217822710358853,2.989649800227552,3.0308986184809132,4.004756595117044,3.0080158088568467,2.2242220020205354,4.00260719925443,3.5530784767237527,4.302396656115664,4.009874313896311,4.956214587195073,2.4400069819854915,3.2596938754284364,0.981719882186678,1.456436585950665,4.397880813420295,3.6966430292108114
31,4.528564508140529,4.581965092599773,5.000877414507579,4.30613600710364,4.939594713605199,4.6681279847224815,3.4815478535428093,4.764137446124348,4.958273561775487,4.826549671264471,4.027346820992206,4.112247755572034,4.972329865933654,4.309802983217517,3.880361103661026,4.363590681860785,3.35602419420088,3.7811719530028776,4.353919288758497,3.825497716270784,4.411264010005362,4.101386630422219,3.7156690254175264,4.607376341070331,4.260197896912986,4.69854031146887,4.2927253038873,4.988387217927682,3.9911986793348424,3.8709651462468067,2.004807043008912,3.4181913962286514,4.001988976957784,4.992711506144439
32,4.52666469193066,4.303679407020204,4.978180927252361,4.95831282811706,4.684809536496601,4.797308566089755,2.986882736919965,4.9031221826678095,4.643261392168008,4.5288472386408305,4.047147752642626,3.402435557462452,4.989538756186048,4.074757382968126,3.249973441045559,3.9966793064633515,3.7101886755108833,3.5151561838474072,4.596909421295773,3.692351447818214,4.001029044933929,3.9854882807680907,3.39069508980586,4.02285623852207,3.7400850344192555,4.3597246615148855,3.766945313351801,4.754451615351668,3.509699245572686,3.059790408554207,2.277010940187214,3.592317518315805,3.974035076867117,4.615800023991721
33,4.993452838767946,5.020118711703244,5.001698179547834,4.62080385195719,5.387727477606393,4.986250353079849,4.948846350977716,4.983506210207592,5.103097992522113,5.422587595628679,4.447753605909816,4.114700772747176,5.00010080020495,4.2142911392280515,3.9665631057220163,4.5621790381884155,2.7407329238970854,3.205812058008455,4.0023584001039705,4.633172758283046,5.443402836153369,4.993740042971697,4.000448712428885,5.766721278959364,3.949471457274482,4.678569158189882,4.875731576936132,4.813632274870583,3.0444934334243934,4.095651452279672,1.9810977021502614,5.019630007573327,4.7534667961097306,5.196813796984187
34,4.343172100762222,4.500003914883764,4.999757206905918,4.756909651008719,4.703477368753994,4.830319389103295,4.046264652667046,4.627842055966239,4.9570220865945895,4.979457128524416,4.245779265733671,3.6925548260179313,4.974717224264185,3.834358646577509,3.5339212339918182,3.999826615247121,3.6306063458975446,3.020965460029488,4.361368480448564,4.830053853960454,3.8603021638198416,4.164820777907627,3.933148410725819,4.619470907574447,3.0520654988410114,4.423555942523467,4.090230880578867,4.982248732708903,3.087138113321168,4.139956506341337,2.1661375940403773,3.6844145469248377,3.742009379746252,5.077627742101404
35,4.905915748981272,4.62112782683767,4.996400406884988,3.3029174925650246,5.102507763285479,4.544733259322729,2.8048868271152,4.437399466599214,4.912115687833612,4.999011994169287,4.005833398041568,4.984580374940215,4.997678485501337,4.988528965089205,4.0282386175357425,4.961090919264005,2.4294534220672546,4.210080846941371,4.093684177679478,3.5942055333556033,4.302031756677061,4.230119726352374,3.5826180903821983,4.484608081940906,4.995643484532853,4.9902866254636145,4.008024968069602,5.003711067083483,4.4738508875086875,4.977321123053145,3.4056673745855526,2.0256090443999293,4.46534434005976,4.433986488018886
36,4.613429813783106,3.9979107016962154,4.978009039453352,3.6960796317571916,4.359673591181968,3.9969646082327035,4.28683042556733,4.333502366870831,4.274170709013555,4.328528380435953,3.8746675236955284,3.5058871909741494,4.597784759750763,3.580842923745528,3.109778935839778,4.491902386663797,2.4302370537167457,1.0223775103224222,4.24902105435106,3.938352484252637,4.5623195099760245,3.8882933323631317,4.977875188997101,4.966999800142571,3.269743496357681,4.013385638860229,3.819312959730819,4.281687612305567,3.2365406556711735,3.119360325231407,1.0099041454645148,4.566985109575461,4.198977713638329,4.99286689043068
37,4.998407300168394,5.118397916999546,5.003164245247507,4.707004869566797,4.892664515516426,4.850635600345379,3.780334939942722,4.979480073106851,4.873546111306956,4.997255972031523,4.952184110864086,4.007077671534415,5.0695744732386085,4.971909971195285,3.062438199059094,4.9892141479548435,2.8946610603998493,3.411893099410556,4.3480463484615255,3.698753675592425,5.082798416138915,4.571779514142818,3.8483695895120853,4.90638986213387,4.2828932903292625,5.000559090319605,4.40973352357309,5.125680662954987,3.1613904159028814,3.208714257553969,2.563023255751755,4.242432090309926,4.055780782772629,5.092955224178501
38,4.1765364219349,3.739032893469773,4.952532927904411,3.6561980266770417,4.965062831174009,4.003795052719221,2.9321507155156428,4.246662322131066,4.215653353538018,4.634693677277357,3.257649193059909,3.4504149271862663,4.007953171459236,3.9735854167355473,3.3643211626205423,3.570309749095133,2.749825090602472,3.0082145238394307,3.6783563305217797,3.7418944195045034,4.992517214568672,3.2637822687334013,2.999068441691899,4.013091780731326,4.000136484651383,3.917796518489806,3.9792778645981204,4.013971753497617,3.2991894698903788,3.6329320675557555,2.220983011410844,3.110527292979087,4.642388605779309,3.886468826961802
39,4.81399368443944,4.946767192624117,5.008337355863244,4.2766961296333275,5.243142557198234,4.759599841404346,3.1257055270598335,4.9666528255672215,4.990295464339758,4.996328188824168,4.019706340411494,4.2230979054460835,5.00295902964153,4.343118780208632,4.259139048694327,4.310565501627282,2.9843590918390857,4.309784350956427,4.38338307361002,3.579096542023603,5.004743414730507,4.010756508503916,3.3789235305722625,4.573774599542097,4.986528094170567,4.956042227470956,4.63784999441847,4.8198098052273926,4.001393549872356,4.213733757589893,2.2501048179848855,3.2986250137166326,4.074438791561467,4.485839233758913
40,4.9735751796114975,4.573545588064223,5.1991073249619415,4.976834153798451,4.42487044768428,4.646006536112773,3.9866045729892536,4.964056284057226,4.494780506821801,4.497660903694198,4.993917139515626,3.3424794577408528,5.013644345591482,4.712981487404543,2.049947438064758,5.213080196127164,3.53077681168659,1.7214348297724027,4.991272225393377,3.857839936196445,4.667974843966146,4.513414009661222,4.96083728266182,4.717120906739165,3.279348944418786,4.521611716301594,3.572012276788722,5.0912728499219195,3.068186452727339,2.1240382952412595,2.202029212336671,5.312331300646021,4.123427035689307,5.9689600559432
41,4.591873594234287,4.586282513387847,4.799197035585193,4.962763650973866,4.9926297829045065,4.982196846826223,3.3055257516891503,4.976317247463227,4.907647245282187,4.833545370316185,3.8952278972521626,3.6522345031560826,4.993434134604188,3.7344433953866822,3.985825794410754,3.769163712464306,3.5357431892761992,4.147577575770658,4.3575285839256575,3.7905244242933023,4.0082309770064395,4.2186573697235215,3.008801074016177,4.386194782866279,3.98291589985024,4.4781486925528675,4.215262545615205,4.692893857362512,3.458261910168012,3.809353555874283,2.107949146945741,3.451633989877139,4.124932339761508,4.301937340108743
42,4.030557381727992,4.346944025852607,4.178715170862342,3.9900259521531667,5.008492894936115,4.342283629896123,2.9143452245285206,4.4558672975065035,4.463432159350053,4.643725130074954,3.448179357256853,3.762768246214349,4.131583727915196,4.180107217277027,3.8367496168105126,3.605241026339493,2.640366540638068,4.958837706936439,3.0349702393268343,3.0031275072526498,4.98259898080145,3.987447094045302,1.930301980986571,4.229099951664106,4.619545133096982,4.287146042859416,4.440272249721039,4.229867687855832,3.479855462191024,3.387282493317724,2.013655360542832,3.0993321847630395,3.9910497458886875,3.732286662866858
43,4.2856506400786545,4.273249280173208,4.2842941669273555,3.4284319488650112,4.009903354640326,4.32873263389779,2.8903029788448573,4.1828060166706456,4.1033290539410805,4.11879000392047,3.977942427059997,3.915439492388523,4.971975952377501,4.97848184374453,3.1511036303710984,4.221230257897736,2.4630170073112727,3.36743345150032,4.1076424838786325,3.9199691347572014,4.794910875531705,4.095116967418639,3.594262002953224,4.212432379395408,4.101856308802842,4.1253325276632795,3.985452745127552,4.016524239625178,3.448843064124986,2.955520193237519,3.612314209591905,4.1773299308788525,3.5903324481716763,4.397035125145268
44,4.228665755269255,4.1196237913834315,4.108389284671204,3.6806024546847853,4.979005648386087,3.9904748730769906,3.9955335207037503,4.072617233496527,4.30098062274736,4.754866708897815,3.5772301046079185,3.6534144141870453,3.745430109630185,3.8502898503541054,3.3662382525009815,3.6819572553235407,1.5707666031432874,3.5817993512889994,2.530621082224098,3.003741336030397,4.997067117335757,4.0724355976337945,2.025223436602996,4.950549391887605,4.040627600455598,4.013846752890163,4.3123583819526345,3.992205586747709,2.2194333378084488,3.205050321700143,1.5267528658980367,3.157043846669585,4.587786197248923,3.6653618379420743
45,4.628711074702818,4.508275514229087,4.565026645988551,4.031500033967017,4.964036146235515,4.983062857708136,2.033625481133001,4.949496146478081,4.661094395501141,4.571590661656506,3.0640013313810543,4.135596661536838,5.081457142526796,3.894040459489966,4.965421836346675,3.5665419426389486,3.655161716278079,5.132023523995195,4.52148054770841,3.908811902013595,4.208631094631033,4.234806373566178,3.017242750104252,3.8479792033940705,4.90755270663431,4.318526913040229,4.395824592976319,4.0365729812776046,4.9978284145063325,4.664238310354079,3.1773434381254395,3.4020240604652012,4.284998618611253,3.2668858644291436
46,5.193510735334207,4.933141488395297,4.979463270001422,4.077436179598872,5.210803369493067,4.999262206090119,3.4522565128302625,5.037990400788303,4.971919764260226,5.007704723193817,4.222776501654124,4.669246316331229,5.302055397431454,5.067504948039387,4.1043504543479505,4.986124029320038,3.013243863213167,4.2271602910310335,4.4803182707092475,3.9154516783432367,5.107155495706961,4.986232997664355,3.9253215236983565,5.061648081596191,4.979662868698827,4.86638615600992,4.536522307321437,4.843825265764313,4.481006260750493,4.010505589199705,3.1517927648799495,4.253098203968238,4.841177418612287,4.8282548697883785
47,4.749989843584127,4.913896514062854,4.4812401164060205,4.167655355334958,4.874870259019409,4.976647591967118,3.6240290117229184,4.75577678612184,4.716967791689968,4.972883401517159,4.068022426068142,4.184791833896609,4.9964709758089985,4.304104790721625,4.023784113481456,4.299302388832696,2.9999053704007372,3.9858125437076666,4.049244014058519,4.8283366743561755,4.858727256855638,4.976725442494971,3.8017012508092343,4.8147249993648735,4.003637367503083,4.476379120714527,4.423251189727933,4.447130342795601,3.752789433061106,4.43382781708365,3.227010269297164,4.57225030925315,4.012748672161911,4.431609290273946
48,4.607761686435187,4.448340700799383,4.484219126267202,3.706237592947269,4.5258710551041945,4.944203191601935,2.3825971165267745,4.672142362236843,4.519394952519521,4.451273199589549,3.442778290326173,4.3488582626961865,5.2722835777090715,4.4524689733009515,4.36192882965301,4.096144607460454,3.6225208012531183,4.436021601482475,4.621435233660495,4.669514309327553,4.118541842043356,4.663650274966749,3.8837921909613744,4.017937954912133,4.317950158239366,4.227171315822736,4.021168269892134,4.184698725206494,4.9782827829894485,4.5237538004998346,3.9913031091713065,4.006772068011095,4.009683331014567,4.0047328321197
